cases,deaths,new_cases,new_deaths
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,1,0
2,0,1,0
2,0,0,0
3,0,1,0
4,0,1,0
5,0,1,0
7,0,2,0
8,0,1,0
9,0,1,0
10,0,1,0
11,0,1,0
12,0,1,0
13,0,1,0
16,0,3,0
19,0,3,0
20,0,1,0
24,1,4,1
27,1,3,0
28,1,1,0
32,1,4,0
37,2,5,1
43,2,6,0
48,2,5,0
50,3,2,1
55,3,5,0
63,3,8,0
66,4,3,1
73,5,7,1
77,5,4,0
85,6,8,1
88,7,3,1
93,7,5,0
